Litologia     codigo      prof  dens       gama       rho        vel
    
folhelho        1           1   2.57E+00   9.69E+01   9.29E+03   2.78E+00
folhelho        1           2   2.52E+00   1.05E+02   1.02E+04   2.84E+00
folhelho        1           3   2.55E+00   9.51E+01   9.93E+03   2.96E+00
folhelho        1           4   2.53E+00   9.71E+01   9.93E+03   3.15E+00
folhelho        1           5   2.58E+00   9.49E+01   1.03E+04   2.96E+00
folhelho        1           6   2.51E+00   9.94E+01   9.94E+03   2.83E+00
folhelho        1           7   2.51E+00   1.06E+02   1.04E+04   3.01E+00
folhelho        1           8   2.58E+00   1.07E+02   1.01E+04   3.14E+00
folhelho        1           9   2.57E+00   9.55E+01   1.04E+04   2.59E+00
folhelho        1          10   2.52E+00   9.83E+01   1.07E+04   3.06E+00
folhelho        1          11   2.63E+00   9.85E+01   1.07E+04   3.39E+00
folhelho        1          12   2.57E+00   9.28E+01   9.62E+03   2.91E+00
folhelho        1          13   2.56E+00   9.63E+01   9.64E+03   2.78E+00
folhelho        1          14   2.52E+00   9.72E+01   1.06E+04   3.27E+00
folhelho        1          15   2.58E+00   9.75E+01   1.07E+04   3.22E+00
folhelho        1          16   2.54E+00   9.92E+01   1.00E+04   3.09E+00
folhelho        1          17   2.49E+00   1.01E+02   1.01E+04   2.65E+00
folhelho        1          18   2.55E+00   9.85E+01   9.30E+03   2.85E+00
folhelho        1          19   2.49E+00   1.01E+02   9.90E+03   3.30E+00
folhelho        1          20   2.55E+00   9.74E+01   9.95E+03   2.95E+00
folhelho        1          21   2.59E+00   9.33E+01   9.92E+03   2.79E+00
folhelho        1          22   2.54E+00   9.58E+01   9.65E+03   2.78E+00
folhelho        1          23   2.54E+00   1.05E+02   8.94E+03   2.90E+00
folhelho        1          24   2.55E+00   1.00E+02   9.80E+03   3.03E+00
folhelho        1          25   2.56E+00   1.04E+02   9.75E+03   3.34E+00
folhelho        1          26   2.55E+00   9.65E+01   1.01E+04   2.96E+00
folhelho        1          27   2.54E+00   1.02E+02   9.93E+03   2.95E+00
folhelho        1          28   2.51E+00   9.80E+01   1.08E+04   3.07E+00
folhelho        1          29   2.57E+00   9.91E+01   9.21E+03   2.82E+00
folhelho        1          30   2.55E+00   1.06E+02   1.07E+04   3.17E+00
folhelho        1          31   2.51E+00   9.93E+01   1.06E+04   3.22E+00
folhelho        1          32   2.52E+00   1.05E+02   1.07E+04   2.63E+00
folhelho        1          33   2.47E+00   9.39E+01   9.92E+03   3.27E+00
folhelho        1          34   2.49E+00   1.04E+02   9.36E+03   3.01E+00
folhelho        1          35   2.58E+00   1.14E+02   9.28E+03   3.35E+00
folhelho        1          36   2.58E+00   9.86E+01   9.21E+03   3.02E+00
folhelho        1          37   2.56E+00   1.12E+02   1.01E+04   3.09E+00
folhelho        1          38   2.54E+00   9.52E+01   9.67E+03   2.86E+00
folhelho        1          39   2.54E+00   1.01E+02   1.03E+04   3.07E+00
folhelho        1          40   2.56E+00   9.09E+01   1.03E+04   3.16E+00
folhelho        1          41   2.55E+00   9.72E+01   8.36E+03   2.96E+00
folhelho        1          42   2.55E+00   9.92E+01   1.11E+04   2.80E+00
folhelho        1          43   2.56E+00   1.03E+02   1.07E+04   3.34E+00
folhelho        1          44   2.55E+00   9.62E+01   9.96E+03   2.85E+00
folhelho        1          45   2.47E+00   1.02E+02   9.93E+03   3.19E+00
folhelho        1          46   2.53E+00   9.35E+01   9.84E+03   2.87E+00
folhelho        1          47   2.56E+00   1.09E+02   9.28E+03   3.21E+00
folhelho        1          48   2.53E+00   9.12E+01   1.01E+04   2.83E+00
folhelho        1          49   2.56E+00   9.96E+01   1.07E+04   3.31E+00
folhelho        1          50   2.58E+00   9.62E+01   1.02E+04   2.89E+00
dolomita        2          51   2.70E+00   8.16E+00   3.54E+03   6.39E+00
dolomita        2          52   2.72E+00   7.83E+00   3.47E+03   5.59E+00
dolomita        2          53   2.71E+00   8.12E+00   3.25E+03   6.29E+00
dolomita        2          54   2.74E+00   7.97E+00   3.40E+03   6.22E+00
dolomita        2          55   2.71E+00   8.68E+00   3.56E+03   6.22E+00
dolomita        2          56   2.73E+00   7.90E+00   3.43E+03   6.31E+00
dolomita        2          57   2.74E+00   8.41E+00   3.50E+03   5.90E+00
dolomita        2          58   2.72E+00   8.23E+00   3.55E+03   6.28E+00
dolomita        2          59   2.70E+00   9.04E+00   3.45E+03   6.16E+00
dolomita        2          60   2.71E+00   8.40E+00   3.55E+03   6.14E+00
dolomita        2          61   2.76E+00   8.45E+00   3.55E+03   5.59E+00
dolomita        2          62   2.69E+00   8.66E+00   3.54E+03   6.31E+00
dolomita        2          63   2.73E+00   8.23E+00   3.71E+03   5.57E+00
dolomita        2          64   2.72E+00   8.41E+00   3.11E+03   6.05E+00
dolomita        2          65   2.74E+00   7.83E+00   3.40E+03   6.08E+00
dolomita        2          66   2.72E+00   7.84E+00   3.70E+03   5.96E+00
dolomita        2          67   2.68E+00   8.88E+00   3.06E+03   6.10E+00
dolomita        2          68   2.68E+00   8.36E+00   3.58E+03   5.99E+00
dolomita        2          69   2.68E+00   8.01E+00   3.25E+03   6.05E+00
dolomita        2          70   2.70E+00   8.10E+00   3.48E+03   5.69E+00
dolomita        2          71   2.72E+00   7.97E+00   3.51E+03   6.08E+00
dolomita        2          72   2.74E+00   7.71E+00   3.17E+03   5.72E+00
dolomita        2          73   2.75E+00   8.20E+00   3.47E+03   5.83E+00
dolomita        2          74   2.71E+00   8.23E+00   3.24E+03   5.13E+00
dolomita        2          75   2.73E+00   8.50E+00   3.59E+03   6.05E+00
dolomita        2          76   2.71E+00   8.02E+00   3.57E+03   5.99E+00
dolomita        2          77   2.69E+00   8.55E+00   3.29E+03   5.97E+00
dolomita        2          78   2.71E+00   8.24E+00   3.60E+03   5.52E+00
dolomita        2          79   2.75E+00   8.30E+00   3.51E+03   6.19E+00
dolomita        2          80   2.72E+00   8.26E+00   3.40E+03   5.71E+00
dolomita        2          81   2.73E+00   8.38E+00   3.74E+03   5.69E+00
dolomita        2          82   2.72E+00   8.17E+00   3.57E+03   5.94E+00
dolomita        2          83   2.69E+00   8.31E+00   3.42E+03   6.14E+00
dolomita        2          84   2.71E+00   8.49E+00   3.46E+03   6.55E+00
dolomita        2          85   2.69E+00   7.90E+00   3.41E+03   6.04E+00
dolomita        2          86   2.73E+00   8.39E+00   3.70E+03   5.61E+00
dolomita        2          87   2.69E+00   8.73E+00   3.53E+03   6.10E+00
dolomita        2          88   2.67E+00   8.36E+00   3.57E+03   6.29E+00
dolomita        2          89   2.73E+00   7.79E+00   3.67E+03   5.28E+00
dolomita        2          90   2.72E+00   8.57E+00   3.74E+03   6.21E+00
dolomita        2          91   2.73E+00   7.82E+00   3.65E+03   6.03E+00
dolomita        2          92   2.70E+00   9.07E+00   3.75E+03   5.98E+00
dolomita        2          93   2.73E+00   7.87E+00   3.41E+03   6.35E+00
dolomita        2          94   2.72E+00   8.51E+00   3.46E+03   5.87E+00
dolomita        2          95   2.72E+00   8.20E+00   3.92E+03   5.79E+00
dolomita        2          96   2.75E+00   7.44E+00   3.23E+03   6.30E+00
dolomita        2          97   2.76E+00   8.48E+00   3.47E+03   5.93E+00
dolomita        2          98   2.72E+00   9.07E+00   3.46E+03   6.57E+00
dolomita        2          99   2.76E+00   7.46E+00   3.29E+03   5.64E+00
dolomita        2         100   2.74E+00   8.32E+00   3.46E+03   6.10E+00
dolomita        2         101   2.73E+00   8.50E+00   3.69E+03   6.07E+00
dolomita        2         102   2.76E+00   8.46E+00   3.71E+03   6.06E+00
dolomita        2         103   2.71E+00   7.70E+00   3.09E+03   6.28E+00
dolomita        2         104   2.73E+00   7.77E+00   3.25E+03   5.65E+00
dolomita        2         105   2.81E+00   8.49E+00   3.16E+03   6.03E+00
dolomita        2         106   2.72E+00   8.48E+00   3.46E+03   5.75E+00
dolomita        2         107   2.69E+00   7.80E+00   3.08E+03   6.30E+00
dolomita        2         108   2.73E+00   7.75E+00   3.30E+03   5.75E+00
dolomita        2         109   2.72E+00   8.32E+00   3.17E+03   5.55E+00
dolomita        2         110   2.71E+00   8.27E+00   3.34E+03   5.92E+00
dolomita        2         111   2.72E+00   7.96E+00   3.57E+03   5.82E+00
dolomita        2         112   2.75E+00   8.27E+00   3.71E+03   5.87E+00
dolomita        2         113   2.66E+00   8.48E+00   3.42E+03   5.85E+00
dolomita        2         114   2.70E+00   7.79E+00   3.62E+03   5.63E+00
dolomita        2         115   2.69E+00   8.26E+00   3.72E+03   6.27E+00
dolomita        2         116   2.75E+00   8.44E+00   3.88E+03   5.87E+00
dolomita        2         117   2.79E+00   8.31E+00   3.58E+03   6.01E+00
dolomita        2         118   2.74E+00   7.73E+00   3.64E+03   5.67E+00
