Litologia     codigo      prof  dens       gama       rho        vel
    
folhelho        1           1   2.59E+00   9.48E+01   1.06E+04   3.07E+00
folhelho        1           2   2.55E+00   9.60E+01   9.56E+03   3.33E+00
folhelho        1           3   2.54E+00   1.00E+02   1.02E+04   2.78E+00
folhelho        1           4   2.52E+00   9.48E+01   1.05E+04   2.84E+00
folhelho        1           5   2.54E+00   9.48E+01   1.01E+04   3.29E+00
folhelho        1           6   2.55E+00   1.07E+02   1.09E+04   3.02E+00
folhelho        1           7   2.51E+00   1.06E+02   1.02E+04   3.02E+00
folhelho        1           8   2.58E+00   9.36E+01   1.01E+04   3.20E+00
folhelho        1           9   2.55E+00   9.02E+01   1.05E+04   2.95E+00
folhelho        1          10   2.59E+00   9.60E+01   9.86E+03   2.83E+00
folhelho        1          11   2.55E+00   1.00E+02   1.01E+04   2.94E+00
folhelho        1          12   2.52E+00   8.92E+01   1.05E+04   2.73E+00
folhelho        1          13   2.48E+00   1.06E+02   1.01E+04   3.22E+00
folhelho        1          14   2.56E+00   1.05E+02   1.06E+04   3.20E+00
folhelho        1          15   2.57E+00   1.02E+02   9.72E+03   3.01E+00
folhelho        1          16   2.59E+00   1.02E+02   1.02E+04   2.99E+00
folhelho        1          17   2.58E+00   1.12E+02   9.66E+03   2.95E+00
folhelho        1          18   2.60E+00   9.72E+01   1.07E+04   3.01E+00
folhelho        1          19   2.57E+00   1.02E+02   1.02E+04   3.06E+00
folhelho        1          20   2.59E+00   1.02E+02   9.09E+03   3.06E+00
folhelho        1          21   2.51E+00   9.34E+01   9.86E+03   3.02E+00
folhelho        1          22   2.56E+00   1.00E+02   1.04E+04   2.93E+00
folhelho        1          23   2.48E+00   1.05E+02   9.75E+03   3.00E+00
folhelho        1          24   2.55E+00   1.01E+02   1.15E+04   2.88E+00
folhelho        1          25   2.57E+00   9.72E+01   9.86E+03   2.83E+00
folhelho        1          26   2.57E+00   1.02E+02   9.60E+03   3.06E+00
folhelho        1          27   2.58E+00   9.80E+01   9.01E+03   2.98E+00
folhelho        1          28   2.58E+00   9.44E+01   9.31E+03   2.64E+00
folhelho        1          29   2.52E+00   9.25E+01   9.81E+03   2.84E+00
folhelho        1          30   2.51E+00   9.83E+01   1.01E+04   2.84E+00
folhelho        1          31   2.53E+00   1.03E+02   1.07E+04   2.97E+00
folhelho        1          32   2.54E+00   1.02E+02   1.04E+04   3.39E+00
folhelho        1          33   2.57E+00   1.03E+02   1.02E+04   3.00E+00
folhelho        1          34   2.58E+00   1.13E+02   9.42E+03   3.06E+00
folhelho        1          35   2.55E+00   1.00E+02   9.78E+03   2.95E+00
folhelho        1          36   2.55E+00   9.98E+01   9.40E+03   2.86E+00
folhelho        1          37   2.51E+00   9.40E+01   1.00E+04   2.94E+00
folhelho        1          38   2.56E+00   9.83E+01   9.36E+03   2.89E+00
folhelho        1          39   2.55E+00   9.00E+01   9.12E+03   2.69E+00
folhelho        1          40   2.52E+00   1.02E+02   1.10E+04   2.73E+00
dolomita        2          41   2.75E+00   8.49E+00   3.82E+03   6.28E+00
dolomita        2          42   2.75E+00   8.29E+00   3.60E+03   6.07E+00
dolomita        2          43   2.71E+00   7.85E+00   3.30E+03   5.57E+00
dolomita        2          44   2.71E+00   9.09E+00   3.64E+03   5.58E+00
dolomita        2          45   2.74E+00   8.15E+00   3.42E+03   5.87E+00
dolomita        2          46   2.74E+00   8.77E+00   3.52E+03   5.61E+00
dolomita        2          47   2.72E+00   8.61E+00   3.44E+03   5.79E+00
dolomita        2          48   2.71E+00   8.20E+00   3.51E+03   6.06E+00
dolomita        2          49   2.69E+00   7.42E+00   3.34E+03   5.55E+00
dolomita        2          50   2.72E+00   8.48E+00   3.67E+03   5.88E+00
dolomita        2          51   2.74E+00   8.65E+00   3.43E+03   5.56E+00
dolomita        2          52   2.76E+00   8.46E+00   3.45E+03   5.89E+00
dolomita        2          53   2.70E+00   7.71E+00   3.51E+03   5.61E+00
dolomita        2          54   2.72E+00   7.84E+00   3.46E+03   6.43E+00
dolomita        2          55   2.71E+00   8.17E+00   3.44E+03   5.92E+00
dolomita        2          56   2.71E+00   8.24E+00   3.97E+03   5.94E+00
dolomita        2          57   2.78E+00   8.26E+00   2.95E+03   6.97E+00
dolomita        2          58   2.74E+00   8.91E+00   3.55E+03   5.95E+00
dolomita        2          59   2.74E+00   8.17E+00   3.28E+03   6.62E+00
dolomita        2          60   2.66E+00   9.20E+00   3.89E+03   6.22E+00
dolomita        2          61   2.72E+00   8.80E+00   3.53E+03   5.53E+00
dolomita        2          62   2.67E+00   7.86E+00   3.71E+03   6.71E+00
dolomita        2          63   2.70E+00   8.62E+00   3.31E+03   5.68E+00
dolomita        2          64   2.72E+00   8.48E+00   3.13E+03   5.38E+00
dolomita        2          65   2.71E+00   8.70E+00   3.37E+03   5.60E+00
dolomita        2          66   2.71E+00   8.77E+00   3.68E+03   6.11E+00
dolomita        2          67   2.69E+00   8.38E+00   3.52E+03   5.80E+00
dolomita        2          68   2.75E+00   8.40E+00   3.29E+03   6.19E+00
dolomita        2          69   2.68E+00   8.30E+00   3.74E+03   6.01E+00
diabasio        3          70   2.92E+00   3.09E+01   1.59E+08   5.49E+00
diabasio        3          71   2.87E+00   2.87E+01   1.50E+08   5.54E+00
diabasio        3          72   2.90E+00   2.79E+01   1.50E+08   5.48E+00
diabasio        3          73   2.92E+00   2.97E+01   1.65E+08   5.54E+00
diabasio        3          74   2.91E+00   3.04E+01   1.46E+08   5.34E+00
diabasio        3          75   2.88E+00   2.81E+01   1.55E+08   5.64E+00
diabasio        3          76   2.89E+00   3.12E+01   1.43E+08   5.56E+00
diabasio        3          77   2.92E+00   3.00E+01   1.56E+08   5.33E+00
diabasio        3          78   2.90E+00   3.11E+01   1.39E+08   5.49E+00
diabasio        3          79   2.92E+00   3.00E+01   1.40E+08   5.21E+00
diabasio        3          80   2.94E+00   2.91E+01   1.74E+08   5.68E+00
diabasio        3          81   2.87E+00   2.98E+01   1.49E+08   6.17E+00
diabasio        3          82   2.91E+00   3.06E+01   1.53E+08   5.54E+00
diabasio        3          83   2.94E+00   2.75E+01   1.34E+08   5.37E+00
diabasio        3          84   2.88E+00   3.04E+01   1.41E+08   5.12E+00
diabasio        3          85   2.92E+00   2.97E+01   1.48E+08   5.45E+00
diabasio        3          86   2.87E+00   3.08E+01   1.48E+08   5.83E+00
diabasio        3          87   2.95E+00   3.05E+01   1.39E+08   5.21E+00
diabasio        3          88   2.94E+00   2.95E+01   1.45E+08   5.42E+00
diabasio        3          89   2.90E+00   2.64E+01   1.36E+08   4.95E+00
diabasio        3          90   2.85E+00   2.81E+01   1.47E+08   5.39E+00
diabasio        3          91   2.86E+00   3.07E+01   1.46E+08   5.65E+00
diabasio        3          92   2.91E+00   3.07E+01   1.51E+08   5.15E+00
diabasio        3          93   2.82E+00   3.22E+01   1.49E+08   5.50E+00
diabasio        3          94   2.93E+00   2.67E+01   1.47E+08   5.60E+00
diabasio        3          95   2.90E+00   3.06E+01   1.37E+08   6.18E+00
diabasio        3          96   2.94E+00   2.95E+01   1.49E+08   5.55E+00
diabasio        3          97   2.94E+00   2.67E+01   1.56E+08   5.51E+00
diabasio        3          98   2.89E+00   2.83E+01   1.53E+08   5.65E+00
diabasio        3          99   2.94E+00   2.93E+01   1.48E+08   5.27E+00
dolomita        2         100   2.74E+00   8.76E+00   3.27E+03   5.56E+00
dolomita        2         101   2.71E+00   8.36E+00   3.74E+03   6.20E+00
dolomita        2         102   2.73E+00   8.31E+00   3.36E+03   6.08E+00
dolomita        2         103   2.73E+00   8.42E+00   3.17E+03   6.13E+00
dolomita        2         104   2.73E+00   7.70E+00   3.75E+03   5.96E+00
dolomita        2         105   2.73E+00   7.93E+00   3.49E+03   5.26E+00
dolomita        2         106   2.70E+00   8.16E+00   3.55E+03   6.44E+00
dolomita        2         107   2.73E+00   8.15E+00   3.11E+03   6.01E+00
dolomita        2         108   2.71E+00   8.84E+00   3.45E+03   6.24E+00
dolomita        2         109   2.72E+00   7.80E+00   3.74E+03   6.29E+00
dolomita        2         110   2.70E+00   8.85E+00   3.25E+03   5.70E+00
dolomita        2         111   2.70E+00   8.42E+00   3.71E+03   5.97E+00
dolomita        2         112   2.75E+00   8.08E+00   3.65E+03   6.22E+00
dolomita        2         113   2.73E+00   8.32E+00   3.59E+03   6.16E+00
dolomita        2         114   2.68E+00   8.36E+00   3.52E+03   5.85E+00
dolomita        2         115   2.73E+00   8.04E+00   3.37E+03   6.41E+00
dolomita        2         116   2.70E+00   7.29E+00   3.76E+03   6.70E+00
dolomita        2         117   2.74E+00   8.50E+00   3.65E+03   6.30E+00
dolomita        2         118   2.79E+00   8.41E+00   3.53E+03   6.11E+00
dolomita        2         119   2.70E+00   8.17E+00   3.58E+03   5.66E+00
dolomita        2         120   2.73E+00   8.72E+00   3.64E+03   6.05E+00
dolomita        2         121   2.72E+00   8.76E+00   3.18E+03   5.62E+00
dolomita        2         122   2.71E+00   8.63E+00   3.31E+03   6.71E+00
dolomita        2         123   2.70E+00   8.30E+00   3.49E+03   6.04E+00
dolomita        2         124   2.73E+00   8.57E+00   3.67E+03   5.89E+00
dolomita        2         125   2.73E+00   8.67E+00   3.48E+03   5.61E+00
dolomita        2         126   2.70E+00   8.90E+00   3.59E+03   5.85E+00
dolomita        2         127   2.68E+00   8.34E+00   3.45E+03   6.19E+00
dolomita        2         128   2.76E+00   8.26E+00   3.65E+03   5.96E+00
dolomita        2         129   2.71E+00   8.56E+00   3.64E+03   6.75E+00
dolomita        2         130   2.70E+00   8.33E+00   3.28E+03   6.33E+00
dolomita        2         131   2.71E+00   8.18E+00   3.44E+03   5.62E+00
dolomita        2         132   2.75E+00   7.84E+00   3.45E+03   5.62E+00
dolomita        2         133   2.70E+00   8.80E+00   3.30E+03   6.27E+00
dolomita        2         134   2.72E+00   8.15E+00   3.29E+03   6.43E+00
dolomita        2         135   2.65E+00   8.09E+00   3.51E+03   6.40E+00
dolomita        2         136   2.77E+00   8.14E+00   3.34E+03   5.70E+00
dolomita        2         137   2.71E+00   7.35E+00   3.68E+03   6.44E+00
dolomita        2         138   2.72E+00   7.81E+00   3.17E+03   5.30E+00
dolomita        2         139   2.67E+00   7.84E+00   3.46E+03   6.06E+00
dolomita        2         140   2.70E+00   7.74E+00   3.46E+03   5.84E+00
dolomita        2         141   2.72E+00   9.11E+00   3.72E+03   6.11E+00
dolomita        2         142   2.71E+00   8.74E+00   3.50E+03   5.89E+00
dolomita        2         143   2.70E+00   8.37E+00   3.78E+03   5.83E+00
dolomita        2         144   2.72E+00   7.68E+00   3.56E+03   6.16E+00
dolomita        2         145   2.73E+00   9.26E+00   3.48E+03   6.15E+00
